X,Y,OBJECTID,id,ask,bedrooms,title,address,posting_da,created_at,updated_at,source_id,survey_id,XCoord,YCoord,Loc_ID,geog_code,AREA,PERIMETER,HOOD_,HOOD_ID,HOOD_NAME
231967.460527467454085,903855.484607088845223,29,12902.00000000000,1750.00000000000,2.00000000000,AFFORDABLE W/ PRKG & LNDRY! Small dog ok!,,2015-11-03 20:20:13,2015-11-03 20:56:03.913363,2015-11-03 20:56:03.913363,0.00000000000,18.00000000000,231967.46052699999,903855.48460700002,0,231967.460527_903855.484607,24898652.96673,31584.12208,13,11,Ward Two / Cobble Hill
232009.974709501868347,904880.378884293953888,30,12903.00000000000,2650.00000000000,2.00000000000,"Renovated 2 BD, SS, Walk to Davis & Porter, Parking for 2",,2015-11-03 20:20:09,2015-11-03 20:56:09.146164,2015-11-03 20:56:09.146164,0.00000000000,18.00000000000,232009.97471000001,904880.37888400001,0,232009.97471_904880.378884,6232546.13042,14043.14751,9,7,Magoun / Albion
232671.756717168667819,903578.696318308124319,31,12910.00000000000,1750.00000000000,2.00000000000,BIG with Modern Kitchen & Bath ** Heat & Hot INCLUDED ** Dishwasher,,2015-11-01 16:31:01,2015-11-03 20:56:14.419837,2015-11-03 20:56:14.419837,0.00000000000,18.00000000000,232671.75671700001,903578.69631799997,0,232671.756717_903578.696318,24898652.96673,31584.12208,13,11,Ward Two / Cobble Hill
232647.819998947379645,903661.338528592139482,32,12911.00000000000,2600.00000000000,2.00000000000,Union Sq 2bd/2ba!Modern kitchen! Unit Faces Playground!!InUnit Laundry,,2015-10-30 20:16:00,2015-11-03 20:56:14.425468,2015-11-03 20:56:14.425468,0.00000000000,18.00000000000,232647.81999900000,903661.33852899994,0,232647.819999_903661.338529,9834653.37944,14217.37817,11,9,Spring Hill
233042.331387640384492,905050.667764993617311,76,13209.00000000000,2200.00000000000,2.00000000000,12/1!Modern/Renovating 2BD!Exposed Brick!Central A/C!2 Parking!,,2015-11-03 19:42:06,2015-11-03 20:59:19.659015,2015-11-03 20:59:19.659015,0.00000000000,18.00000000000,233042.33138799999,905050.66776500002,0,233042.331388_905050.667765,8985314.92405,14402.35155,10,8,Winter Hill
234136.192080142500345,905176.753634350840002,141,13712.00000000000,1800.00000000000,2.00000000000,Six rooms Two beds All season porch modern kitchen & bath.,,2015-11-03 18:55:54,2015-11-03 21:03:09.176941,2015-11-03 21:03:09.176941,0.00000000000,18.00000000000,234136.19208000001,905176.75363399996,0,234136.19208_905176.753634,10083513.92694,13786.53580,3,5,Ten Hills
232838.044063097448088,904349.579874953953549,143,13728.00000000000,1650.00000000000,2.00000000000,Somerville 2 bdrm-off-street parking -SHORT TERM LEASE,,2015-11-03 19:21:13,2015-11-03 21:03:19.681676,2015-11-03 21:03:19.681676,0.00000000000,18.00000000000,232838.04406300001,904349.57987500005,0,232838.044063_904349.579875,2531078.48422,8784.65651,12,10,Central Hill
232842.707888593577081,904355.933169376919977,144,13730.00000000000,1650.00000000000,2.00000000000,Somerville 2 bdrm-off-street parking -SHORT TERM LEASE,,2015-11-03 19:00:19,2015-11-03 21:03:19.695264,2015-11-03 21:03:19.695264,0.00000000000,18.00000000000,232842.70788900001,904355.93316899997,0,232842.707889_904355.933169,2531078.48422,8784.65651,12,10,Central Hill
232084.719476799335098,905046.227389181731269,159,13843.00000000000,2395.00000000000,2.00000000000,"MUST SEE 2 Bd, Parking Inc, Brand New! Charming, Gr8 Location!",,2015-11-03 18:32:02,2015-11-03 21:05:05.118817,2015-11-03 21:05:05.118817,0.00000000000,18.00000000000,232084.71947700001,905046.22738900001,0,232084.719477_905046.227389,5164364.67909,9614.32488,8,4,Powder House
232089.441881689912407,905039.806394379585981,160,13848.00000000000,2295.00000000000,2.00000000000,Great deal! 2 bed on Cedar street (Davis Square),,2015-11-01 22:39:14,2015-11-03 21:05:05.165716,2015-11-03 21:05:05.165716,0.00000000000,18.00000000000,232089.44188200001,905039.80639399996,0,232089.441882_905039.806394,5164364.67909,9614.32488,8,4,Powder House
230508.113293585338397,906350.26514647481963,164,13861.00000000000,2000.00000000000,2.00000000000,"Large 2 BD, Walk to Davis Sq, Free Laundry, Pets Negotiable",,2015-11-03 18:26:44,2015-11-03 21:05:20.954109,2015-11-03 21:05:20.954109,0.00000000000,18.00000000000,230508.11329400001,906350.26514599996,0,230508.113294_906350.265146,9787564.58193,17807.41102,6,1,West Somerville
230508.141286394529743,906343.822684748796746,165,13862.00000000000,2000.00000000000,2.00000000000,"Large 2 BD, Walk to Davis Sq, Free Laundry, Pets Negotiable",,2015-11-03 18:07:20,2015-11-03 21:05:20.961669,2015-11-03 21:05:20.961669,0.00000000000,18.00000000000,230508.14128600000,906343.82268500002,0,230508.141286_906343.822685,9787564.58193,17807.41102,6,1,West Somerville
230498.729102964687627,906350.224377980805002,166,13863.00000000000,2000.00000000000,2.00000000000,"Large 2 BD, Walk to Davis Sq, Free Laundry, Pets Negotiable",,2015-11-03 15:03:52,2015-11-03 21:05:20.967667,2015-11-03 21:05:20.967667,0.00000000000,18.00000000000,230498.72910299999,906350.22437800001,0,230498.729103_906350.224378,9787564.58193,17807.41102,6,1,West Somerville
230484.570499466586625,906350.162891361280344,167,13864.00000000000,2000.00000000000,2.00000000000,"Large 2 BD, Walk to Davis Sq, Free Laundry, Pets Negotiable",,2015-11-02 16:42:10,2015-11-03 21:05:20.973548,2015-11-03 21:05:20.973548,0.00000000000,18.00000000000,230484.57049899999,906350.16289100004,0,230484.570499_906350.162891,9787564.58193,17807.41102,6,1,West Somerville
230465.30579333260539,906445.496165265096352,168,13865.00000000000,1500.00000000000,2.00000000000,"Somerville/TUFTS/Redline Davis 5 rooms 2 bedrooms, parking",,2015-11-02 11:45:20,2015-11-03 21:05:20.979331,2015-11-03 21:05:20.979331,0.00000000000,18.00000000000,230465.30579300001,906445.49616500002,0,230465.305793_906445.496165,9787564.58193,17807.41102,6,1,West Somerville
230489.235101654427126,906356.514649547520094,169,13869.00000000000,2000.00000000000,2.00000000000,"Large 2 BD, Walk to Davis Sq, Free Laundry, Pets Negotiable",,2015-11-01 20:37:45,2015-11-03 21:05:21.003954,2015-11-03 21:05:21.003954,0.00000000000,18.00000000000,230489.23510200001,906356.51465000003,0,230489.235102_906356.51465,9787564.58193,17807.41102,6,1,West Somerville
230517.607803117338335,906343.863823605584912,170,13870.00000000000,2000.00000000000,2.00000000000,"Large 2 BD, Walk to Davis Sq, Free Laundry, Pets Negotiable",,2015-11-01 19:39:50,2015-11-03 21:05:21.010035,2015-11-03 21:05:21.010035,0.00000000000,18.00000000000,230517.60780299999,906343.86382400000,0,230517.607803_906343.863824,9787564.58193,17807.41102,6,1,West Somerville
230479.85091938637197,906356.473906286526471,171,13876.00000000000,2000.00000000000,2.00000000000,"Large 2 BD, Walk to Davis Sq, Free Laundry, Pets Negotiable",,2015-10-29 18:57:42,2015-11-03 21:05:21.060333,2015-11-03 21:05:21.060333,0.00000000000,18.00000000000,230479.85091899999,906356.47390600003,0,230479.850919_906356.473906,9787564.58193,17807.41102,6,1,West Somerville
232060.928859873587498,904053.297246793401428,173,13940.00000000000,1750.00000000000,2.00000000000,"2 Bd, Parking Included! Pets ok!",,2015-11-03 20:19:25,2015-11-03 21:05:52.89767,2015-11-03 21:05:52.89767,0.00000000000,18.00000000000,232060.92886000001,904053.29724700004,0,232060.92886_904053.297247,9834653.37944,14217.37817,11,9,Spring Hill
231996.885992940660799,904644.832282372750342,174,13993.00000000000,2000.00000000000,2.00000000000,Great BLDG&Deal 2BDHT/HW Incl!10 min to T!Laundry!Cats OK!Parking$,,2015-11-03 19:41:55,2015-11-03 21:06:03.706765,2015-11-03 21:06:03.706765,0.00000000000,18.00000000000,231996.88599300000,904644.83228199999,0,231996.885993_904644.832282,9834653.37944,14217.37817,11,9,Spring Hill
232006.413014626246877,904632.101640424109064,175,13994.00000000000,2100.00000000000,2.00000000000,"Excellent Deal!Spacious 2Bed,Heat/HW Included,10 min to T!!!!!",,2015-11-03 18:22:24,2015-11-03 21:06:03.719292,2015-11-03 21:06:03.719292,0.00000000000,18.00000000000,232006.41301500000,904632.10164000001,0,232006.413015_904632.10164,9834653.37944,14217.37817,11,9,Spring Hill
231963.723583063256228,904676.56086803029757,176,13995.00000000000,2100.00000000000,2.00000000000,"AVA 10/15, HT/HW Incl, Large closets, 10 min to T, Laundry, DW/D",,2015-11-03 16:50:30,2015-11-03 21:06:03.729601,2015-11-03 21:06:03.729601,0.00000000000,18.00000000000,231963.72358300001,904676.56086800003,0,231963.723583_904676.560868,9834653.37944,14217.37817,11,9,Spring Hill
231949.619715885841288,904663.722637897124514,177,14004.00000000000,2100.00000000000,2.00000000000,"AVA 10/15, HT/HW Incl, Large closets, 10 min to T, Laundry, DW/D",,2015-10-28 21:33:17,2015-11-03 21:06:03.816487,2015-11-03 21:06:03.816487,0.00000000000,18.00000000000,231949.61971599999,904663.72263800004,0,231949.619716_904663.722638,9834653.37944,14217.37817,11,9,Spring Hill
232570.32672583166277,903075.484148217714392,178,14021.00000000000,1750.00000000000,2.00000000000,Cozy 2 br near Inman sq-Heat/Hot wtr and 1 parking-November 15,,2015-11-03 18:21:47,2015-11-03 21:06:14.397354,2015-11-03 21:06:14.397354,0.00000000000,18.00000000000,232570.32672600000,903075.48414800002,0,232570.326726_903075.484148,24898652.96673,31584.12208,13,11,Ward Two / Cobble Hill
232541.907806232135044,903094.457924155634828,179,14022.00000000000,2400.00000000000,2.00000000000,- Sun Filled 2 Bed ((( Laundry in Unit ))) - -  Brand New Construction,,2015-11-03 15:25:53,2015-11-03 21:06:14.404406,2015-11-03 21:06:14.404406,0.00000000000,18.00000000000,232541.90780600000,903094.45792399999,0,232541.907806_903094.457924,24898652.96673,31584.12208,13,11,Ward Two / Cobble Hill
232541.937136506923707,903088.126590940752067,180,14023.00000000000,2400.00000000000,2.00000000000,-- Gut Renovated 2 Bed ((( Laundry in Unit ))) - - Quiet Side Street,,2015-11-02 21:48:35,2015-11-03 21:06:14.410763,2015-11-03 21:06:14.410763,0.00000000000,18.00000000000,232541.93713700000,903088.12659100001,0,232541.937137_903088.126591,24898652.96673,31584.12208,13,11,Ward Two / Cobble Hill
232537.213535201299237,903094.436179235810414,181,14024.00000000000,2400.00000000000,2.00000000000,-- Gut Renovated 2 Bed ((( Laundry in Unit ))) - -Great Inman Location,,2015-11-02 17:05:22,2015-11-03 21:06:14.416471,2015-11-03 21:06:14.416471,0.00000000000,18.00000000000,232537.21353499999,903094.43617899995,0,232537.213535_903094.436179,24898652.96673,31584.12208,13,11,Ward Two / Cobble Hill
